loc,site,,prov,date,radius_m,surface_m2,lat,long,datum,field_workers,treatment,Obs,datum original,coord_originales,precision,gps
JERES,BCO. CANALEJA,JEREZ DEL MARQUESADO,GR,2018/05/09,11,380.13,37.1609033,-3.1967939,WGS84,AJPL // MSM // ARC // AVeredas ,PP_T1,,ED1950,30 S 482526 4112739,10,etreX
LANTEIRA,SOLANA TIO CAYETANO,LANTEIRA,GR,2018/05/10,9,254.47,37.1433604,-3.1490127,WGS84,AJPL // MSM // ARC,PN_T3_CON,,ED1950,30 S 486766 4110786,10,etreX
CANARLOW,COTO DEL ROBLEDAL,CÁÑAR,GR,2018/10/24,10,314.16,36.95328164,-3.429063055,WGS84,AJPL // ARC // MSM // RMLL,CAN-RES-24 (Control Clareo Alta Intensidad) (60% de entre 6 y 12. Cort men 6 cm) ,,ETRS89 30N,461800.213//4089775.757,2.444,Leica Zeno20
FINANA,EL ROSAL,FIÑANA,AL,2018/11/13,10,314.16,37.14268962,-2.88891928,WGS84,AJPL,QI parcela 1 FINANA (triturado distribuido),,ETRS89 30N,509865.028//4110707.359,1.855,Leica Zeno20
CANARHIGH,COTO DEL ROBLEDAL,CÁÑAR,GR,2018/11/30,9,254.47,36.9603081,-3.431626902,WGS84,AJPL // ARC // RMLL,CAN-RES-30 (50% de entre 6 y 12. Menores de 6 se cortan) (Cordones fragmentos finos),,ETRS89 30N,461575.481//4090556.256,2.47,
PORTUGOS_LOW,LOS MELONES,PORTUGOS,GR,2018/11/28,13,530.93,36.95424397,-3.302068982,,AJPL // ARC,PS_T2_C_4,,ED1950,30 S 473209 4090041,10,etreX
PORTUGOS_MED,BCO. DEL TESORO,PÓRTUGOS,GR,2018/12/11,9,254.47,36.95819443,-3.304746723,,AJPL // ARC,PS_T1_C_4,,ED1950,30 S 472972 4090480,10,etreX
PORTUGOS_HIGH,LOMA DEL JABALI,PÓRTUGOS,GR,2018/11/28,9,254.47,36.96415491,-3.314352671,,AJPL // ARC // RMLL,PS_T1_CONT,,ED1950,30 S 472119 4091144,10,etreX
NACIMIENTO,EL ENTREDICHO,NACIMIENTO,AL,2018/12/28,10,314.16,37.08871178,-2.68648579,WGS84,AJPL,PH_T3_A4,,ETRS89 30N,527862.859//4104759.501,1.532,Leica Zeno20
PORTUGOS_X,TAJOS DE CORTÉS,PÓRTUGOS,GR,2018/12/11,9,254.47,36.95475714,-3.315154255,WGS84,AJPL // ARC,POR-RES-40 (Clareo 24 %. 6-12 Maderables salen. Menores de 6 picados) (Roza y Triturado),,ETRS89 30N,471942.169//4089899.843,1.792,Leica Zeno20
ABRUCENA,CERRO DE LA CRUZ,ABRUCENA,AL,2018/11/20,9,254.47,37.12967906,-2.891087462,WGS84,AJPL // ARC,ABR-RES-12 (Clareo 90 % Todos los menores de 6cm) (Roza y Triturado),,ETRS89 30N,509674.129//4109263.798,1.189,Leica Zeno20